,year,number,released,item_library_URL,standard_map_URL,type,reporting category,standard,item description,pts,school%,state%,school_state_diff,Reporting Category,Cluster,Standard Description,Unit,Course
51,2021,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA624376704,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.6,CR,NF,5.NF.B.6,Write an equation to represent a given problem and multiply fractions and whole numbers to solve real-world problems.,4,27,30,-3,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem.",Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
52,2021,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA204869,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.5,SR,MD,5.MD.C.5,"Determine which right rectangular prism, shown with side lengths, has the greatest volume.",1,82,62,20,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,Relate volume to the operations of multiplication and addition and solve real-world and mathematical problems involving volume.,Topic 11: Understand Volume Concepts,STEM
53,2021,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA802284503,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.A.1,SA,MD,5.MD.A.1,Order measures of weight expressed in different units from least to greatest value.,1,51,35,16,Measurement and Data,Convert like measurement units within a given measurement system.,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.",Topic 12: Convert Measurements,STEM
54,2021,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA801656092,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.3,SR,NT,5.NBT.A.3,Select which expressions correctly show a decimal to the thousandths in expanded form.,1,26,35,-9,Number and Operations in Base Ten,Understand the place value system.,"Read, write, and compare decimals to thousandths.",Topic 1: Understanding Place Value,Math
55,2021,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA704359410,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.5,SA,NF,5.NF.B.5,Identify expressions with a product greater than a given factor and write a fraction that can be multiplied by a whole number to get a product less than that whole number.,2,35,44,-9,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Interpret multiplication as scaling (resizing),Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
56,2021,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA803876799,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.A.1,SR,GE,5.G.A.1,"Given an ordered pair, select the statement that correctly describes the location of the point represented by the ordered pair in relation to the origin on a coordinate plane.",1,74,64,10,Geometry,Graph points on the coordinate plane to solve real-world and mathematical problems.,"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the zero on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., x-axis and x-coordinate, y-axis and y-coordinate).",Topic 14: Graph Points on the Coordinate Plane,STEM
57,2021,18,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA221208,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.4,SA,NF,5.NF.B.4,Find the product of a fraction and a whole number.,1,62,48,14,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,. Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
58,2021,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA301167,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.1,SR,OA,5.OA.A.1,Determine the value of a given expression with parentheses.,1,62,31,31,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",Topic 13: Write and Interpret Numerical Expressions,Math
59,2021,20,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA804579588,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.4,SA,MD,5.MD.C.4,Find the volume of a figure by counting cubes with given dimensions.,1,69,55,14,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",Topic 11: Understand Volume Concepts,STEM
60,2021,21,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.B.3,SR,GE,5.G.B.3,Determine which triangle meets specified criteria based on the given side lengths of each triangle.,1,33,38,-5,Geometry,Classify two-dimensional figures into categories based on their properties.,"Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles.",Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Math
61,2021,22,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.1,SR,OA,5.OA.A.1,Determine which expression with parentheses has an equivalent value if the parentheses are removed.,1,64,58,6,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",Topic 13: Write and Interpret Numerical Expressions,Math
62,2021,23,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.A.1,SR,NF,5.NF.A.1,Identify which expression can be used to solve an addition problem by replacing given fractions with equivalent fractions with like denominators.,1,62,62,0,Number and Operations Fractions,Use equivalent fractions as a strategy to add and subtract fractions.,"Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. For example, 2/3 + 5/4 = 8/12 + 15/12 = 23/12. (In general, a/b + c/d = (ad + bc)/bd.)",Topic 7: Use Equivelent Fractions and Strategies to Add and Subtract Fractions,Math
63,2021,24,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.5,SR,NF,5.NF.B.5,"Given several expressions, determine whether the product of each expression is greater than, less than, or equal to the value of a given factor of the expression.",1,31,33,-2,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Interpret multiplication as scaling (resizing),Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
64,2021,25,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.7,SR,NT,5.NBT.B.7,Divide a decimal to hundredths by a whole number.,1,69,61,8,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",Topic 4: Use Models and Strategies to Multiply Decimals,Math
65,2021,26,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.5,CR,MD,5.MD.C.5,"Write an equation to find the volume of a given prism, find the total volume of two prisms placed together, and determine a set of dimensions that will result in a given volume.",4,48,42,6,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,Relate volume to the operations of multiplication and addition and solve real-world and mathematical problems involving volume.,Topic 11: Understand Volume Concepts,STEM
66,2021,27,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.7,SR,NF,5.NF.B.7,Create a division equation involving a whole number and a unit fraction where the quotient is the solution to a word problem.,1,22,24,-2,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.,Topic 9: Apply Understanding of Division to Divide Fractions,Math
67,2021,28,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.A.2,SR,NF,5.NF.A.2,Estimate the sum of two fractions that are less than one to solve a word problem.,1,40,32,8,Number and Operations Fractions,Use equivalent fractions as a strategy to add and subtract fractions.,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers.",Topic 7: Use Equivelent Fractions and Strategies to Add and Subtract Fractions,Math
68,2021,29,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.3,SR,NT,5.NBT.A.3,Match decimal numbers in expanded form with decimals in number form and compare two decimal numbers to thousandths.,2,50,55,-5,Number and Operations in Base Ten,Understand the place value system.,"Read, write, and compare decimals to thousandths.",Topic 1: Understanding Place Value,Math
69,2021,30,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.5,SA,NT,5.NBT.B.5,Determine the product of two three-digit numbers.,1,9,31,-22,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,Fluently multiply multi-digit whole numbers using the standard algorithm.,Topic 3: Fluently Multiply Multi Digit Whole Numbers,Math
70,2021,31,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.2,SR,OA,5.OA.A.2,Identify the word form of a given numerical expression.,1,58,57,1,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.",Topic 13: Write and Interpret Numerical Expressions,Math
71,2021,32,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.7,SA,NF,5.NF.B.7,Determine the quotient of a whole number divided by a fraction in a real-world context.,1,78,78,0,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.,Topic 9: Apply Understanding of Division to Divide Fractions,Math
72,2021,33,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.B.4,SR,GE,5.G.B.4,Classify triangles based on angle and side properties.,1,33,39,-6,Geometry,Classify two-dimensional figures into categories based on their properties.,Classify two-dimensional figures in a hierarchy based on properties.,Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Math
73,2021,34,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.A.2,SA,GE,5.G.A.2,Graph three points in the first quadrant of the coordinate plane.,1,82,57,25,Geometry,Graph points on the coordinate plane to solve real-world and mathematical problems.,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",Topic 15: Algebra Analyze Patterns and Relationships,STEM
74,2021,35,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.6,CR,NT,5.NBT.B.6,"Write an equation to solve a real-world problem, critique another student’s reasoning of the problem, and solve a similar problem using division with whole numbers.",4,66,56,10,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",Topic 5: Use Models and Strategies to Divide Whole Numbers,Math
75,2021,36,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.1,SR,NT,5.NBT.A.1,Determine the relationship of the value of a digit in one number compared to the value of that digit in another number.,1,28,34,-6,Number and Operations in Base Ten,Understand the place value system.,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.",Topic 1: Understanding Place Value,Math
76,2021,37,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.6,SR,NF,5.NF.B.6,Determine the product of a mixed number and a fraction to solve a real-world problem.,1,28,20,8,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Solve real world problems involving multiplication of fractions and mixed numbers, e.g., by using visual fraction models or equations to represent the problem.",Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
77,2021,38,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.B.3,SR,GE,5.G.B.3,Identify shapes that have two pairs of opposite angles that are congruent.,1,28,24,4,Geometry,Classify two-dimensional figures into categories based on their properties.,"Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. For example, all rectangles have four right angles and squares are rectangles, so all squares have four right angles.",Topic 16: Geometric Measurement: Classify Two Dimensional Figures,Math
78,2021,39,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.2,SR,OA,5.OA.A.2,"Select the numerical expression, with parentheses, that represents a given word expression.",1,33,33,0,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.",Topic 13: Write and Interpret Numerical Expressions,Math
79,2021,40,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.3,SR,NF,5.NF.B.3,Determine the fraction that represents a given word problem.,1,77,68,9,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,"Interpret a fraction as division of the numerator by the denominator (a/b = a ÷ b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations to represent the problem. For example, interpret 3/4 as the result of dividing 3 by 4, noting that 3/4 multiplied by 4 equals 3, and that when 3 wholes are shared equally among 4 people each person has a share of size 3/4. If 9 people want to share a 50-pound sack of rice equally by weight, how many pounds of rice should each person get? Between what two whole numbers does your answer lie?",Topic 9: Apply Understanding of Division to Divide Fractions,Math
80,2022,1,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA801668672&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.5,SR,MD,5.MD.C.5,Determine the expression that can be used to find the volume of a right rectangular prism that is packed with unit cubes.,1,66,76,-10,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,Relate volume to the operations of multiplication and addition and solve real-world and mathematical problems involving volume.,Topic 11: Understand Volume Concepts,STEM
81,2022,2,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA804577344&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.4,SA,NT,5.NBT.A.4,Round a decimal to the nearest whole number.,1,70,56,14,Number and Operations in Base Ten,Understand the place value system.,Use place value understanding to round decimals to any place.,Topic 1: Understanding Place Value,Math
82,2022,3,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA801650702&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.5,SR,NF,5.NF.B.5,Determine the relationship between the value of an expression and its factors by comparing the size of the factor to 1.,1,80,58,22,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Interpret multiplication as scaling (resizing),Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
83,2022,4,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA801176573&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.1,SA,OA,5.OA.A.1,Place parentheses in an expression to make the expression equivalent to a given value.,1,37,52,-15,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",Topic 13: Write and Interpret Numerical Expressions,Math
84,2022,5,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA901081374&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.5,SR,MD,5.MD.C.5,Determine the number of cubes that are used to create a figure when the length of one edge of the cube and the volume of the figure are given.,1,10,14,-4,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,Relate volume to the operations of multiplication and addition and solve real-world and mathematical problems involving volume.,Topic 11: Understand Volume Concepts,STEM
85,2022,6,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA310322&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.3,SA,NT,5.NBT.A.3,Write a decimal number given in word form in number form.,1,66,67,-1,Number and Operations in Base Ten,Understand the place value system.,"Read, write, and compare decimals to thousandths.",Topic 1: Understanding Place Value,Math
86,2022,7,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA900941108&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.4,SR,NF,5.NF.B.4,Write the product of a whole number and a fraction as an equivalent expression with multiplication and division of whole numbers.,1,52,51,1,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,. Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.,Topic 8: Apply Understanding of Multiplication to Multiply Fractions,Math
87,2022,8,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA301145&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.6,SR,NT,5.NBT.B.6,Find the quotient of a 4-digit dividend and a 1-digit divisor.,1,70,67,3,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",Topic 5: Use Models and Strategies to Divide Whole Numbers,Math
88,2022,9,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA901073764&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.B.7,CR,NT,5.NBT.B.7,Solve multi-step real-world problems using the four operations with given whole numbers and decimals to hundredths.,4,43,41,2,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",Topic 4: Use Models and Strategies to Multiply Decimals,Math
89,2022,10,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA272788&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.1,SR,OA,5.OA.A.1,Determine the value of a given expression that has two operations and parentheses.,1,80,81,-1,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",Topic 13: Write and Interpret Numerical Expressions,Math
90,2022,11,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA624345222&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.1,SR,NT,5.NBT.A.1,Compare the values of a digit in two different four-digit whole numbers.,1,52,41,11,Number and Operations in Base Ten,Understand the place value system.,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.",Topic 1: Understanding Place Value,Math
91,2022,12,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA904134029&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.B.2,SR,MD,5.MD.B.2,Subtract mixed numbers to solve a problem involving information presented in a line plot.,1,52,53,-1,Measurement and Data,Represent and interpret data.,"Make a line plot to display a data set of measurements in fractions of a unit (1/2 , 1/4 , 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. For example, given different measurements of liquid in identical beakers, find the amount of liquid each beaker would contain if the total amount in all the beakers were redistributed equally.",Topic 10: Represent and Interpret Data,STEM
92,2022,13,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA802310847&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.G.A.2,CR,GE,5.G.A.2,"Graph a given ordered pair on a coordinate plane, give the ordered pair of a point on a coordinate plane, and interpret coordinate values of points in the context of the situation.",4,50,58,-8,Geometry,Graph points on the coordinate plane to solve real-world and mathematical problems.,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation.",Topic 15: Algebra Analyze Patterns and Relationships,STEM
93,2022,14,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA301593&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.7,SR,NF,5.NF.B.7,Determine the quotient of a unit fraction divided by a whole number in a real-world context.,1,72,60,12,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.,Topic 9: Apply Understanding of Division to Divide Fractions,Math
94,2022,15,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA804580860&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.OA.A.2,SR,OA,5.OA.A.2,Identify equivalent numerical and word expressions.,2,28,33,-5,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.",Topic 13: Write and Interpret Numerical Expressions,Math
95,2022,16,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA904333760&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.A.1,SA,MD,5.MD.A.1,"Compare lengths with measurements given in yards, feet, and inches and order from least to greatest.",1,38,28,10,Measurement and Data,Convert like measurement units within a given measurement system.,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems.",Topic 12: Convert Measurements,STEM
96,2022,17,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA207523&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.A.1,SA,NF,5.NF.A.1,Find the difference of two mixed numbers with unlike denominators.,1,56,51,5,Number and Operations Fractions,Use equivalent fractions as a strategy to add and subtract fractions.,"Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators. For example, 2/3 + 5/4 = 8/12 + 15/12 = 23/12. (In general, a/b + c/d = (ad + bc)/bd.)",Topic 7: Use Equivelent Fractions and Strategies to Add and Subtract Fractions,Math
97,2022,18,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA900983475&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.B.7,SR,NF,5.NF.B.7,Determine the quotients of whole numbers divided by fractions in real-world contexts.,1,53,42,11,Number and Operations Fractions,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.,Apply and extend previous understandings of division to divide unit fractions by whole numbers and whole numbers by unit fractions.,Topic 9: Apply Understanding of Division to Divide Fractions,Math
98,2022,19,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA303749&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.C.5,SR,MD,5.MD.C.5,Determine the total volume of two non-overlapping right rectangular prisms.,1,34,39,-5,Measurement and Data,Geometric measurement: Understand concepts of volume and relate volume to multiplication and to addition.,Relate volume to the operations of multiplication and addition and solve real-world and mathematical problems involving volume.,Topic 11: Understand Volume Concepts,STEM
99,2022,20,TRUE,https://mcas.digitalitemlibrary.com/home?subject=Math&grades=Grade%205&view=ALL&itemUIN=MA282154&YearCode=2022,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NF.A.2,SR,NF,5.NF.A.2,Solve a word problem by finding the sum of two mixed numbers with unlike denominators.,1,57,58,-1,Number and Operations Fractions,Use equivalent fractions as a strategy to add and subtract fractions.,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense of fractions to estimate mentally and assess the reasonableness of answers.",Topic 7: Use Equivelent Fractions and Strategies to Add and Subtract Fractions,Math
100,2022,21,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.2,SR,NT,5.NBT.A.2,Find the multiple of 10 that makes an equation true when multiplying a decimal by an unknown factor.,1,87,89,-2,Number and Operations in Base Ten,Understand the place value system.,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",Topic 6: Use Models and Strategies to Divide Decimals,Math
101,2022,22,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.MD.B.2,SA,MD,5.MD.B.2,Create a line plot with data given in the form of fractions with different denominators.,1,60,48,12,Measurement and Data,Represent and interpret data.,"Make a line plot to display a data set of measurements in fractions of a unit (1/2 , 1/4 , 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots. For example, given different measurements of liquid in identical beakers, find the amount of liquid each beaker would contain if the total amount in all the beakers were redistributed equally.",Topic 10: Represent and Interpret Data,STEM
102,2022,23,FALSE,,http://www.doe.mass.edu/frameworks/search/Map.aspx?ST_CIS_CODE=5.NBT.A.2,SR,NT,5.NBT.A.2,Identify which whole number is equivalent to a given power of ten.,1,80,69,11,Number and Operations in Base Ten,Understand the place value system.,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",Topic 6: Use Models and Strategies to Divide Decimals,Math
